"SJALL014946_D1"	"SJALL014947_D1"	"SJALL014949_D1"	"SJALL014950_D1"	"SJALL014952_D1"
"MIR6808"	0	0	0	0	0
"MXRA8"	3	32	17	2	13
"AURKAIP1"	3063	2950	1513	1558	1930
"NDUFB4P8"	0	25	20	0	0
"CCNL2"	1861	4872	2785	2061	1999
"MRPL20-AS1"	428	438	553	926	401
"MRPL20"	585	811	510	417	582
"RN7SL657P"	0	0	0	0	0
"ANKRD65"	0	8	0	1	0
"TMEM88B"	0	0	1	0	0
"LINC01770"	4	11	33	1	9
"VWA1"	8	94	24	4	17
"ATAD3C"	3	9	4	0	2
"ATAD3B"	240	2409	690	165	229
"ATAD3A"	170	211	108	79	88
"TMEM240"	5	64	44	6	7
"SSU72"	290	419	410	236	212
"FNDC10"	15	56	17	5	23
"MIB2"	307	532	542	299	567
"MMP23B"	0	29	14	3	4
"CDK11B"	320	1229	675	219	427
"SLC35E2B"	234	164	709	330	283
"MMP23A"	9	44	37	6	14
"CDK11A"	64	202	78	41	64
"SLC35E2A"	926	433	2106	1628	1157
"NADK"	243	433	401	216	336
"GNB1"	347	611	301	344	259
"CALML6"	7	50	266	25	95
"TMEM52"	20	173	31	179	13
"CFAP74"	0	0	0	2	0
"GABRD"	48	8	1	7	0
"PRKCZ"	1	1	3	8	256
"PRKCZ-AS1"	13	300	52	26	29
"FAAP20"	63	319	80	63	49
"SKI"	19	1125	165	38	32
"MORN1"	5	17	24	18	21
"RER1"	620	1053	635	579	457
"PEX10"	143	147	106	241	115
"PLCH2"	1	48	6	2	3
"PANK4"	108	296	305	77	185
"HES5"	0	12	4	0	0
"TNFRSF14-AS1"	76	70	168	62	68
"TNFRSF14"	1864	2385	2127	1156	898
"PRXL2B"	340	528	238	171	216
"MMEL1"	2	0	0	0	0
"TTC34"	0	0	1	0	0
"ACTRT2"	0	0	0	0	0
"PRDM16-DT"	0	0	0	0	0
"PRDM16"	0	0	0	0	0
"MIR4251"	0	0	0	0	0
"ARHGEF16"	0	6	2	0	0
"MEGF6"	162	183	181	84	49
"MIR551A"	892	482	239	194	280
"TPRG1L"	739	432	250	402	208
"WRAP73"	131	110	127	101	99
"TP73"	0	0	0	1	0
"TP73-AS1"	140	146	162	196	245
"CCDC27"	0	0	0	0	0
"SMIM1"	15	19	7	1	10
"LRRC47"	263	391	222	221	215
"RN7SL574P"	0	0	0	0	12
"CEP104"	63	41	102	81	147
"DFFB"	39	13	36	36	42
"C1orf174"	291	141	147	189	147
"LINC01134"	2	3	8	5	10
"LINC01346"	0	0	0	0	1
"LINC01345"	0	0	0	0	5
"EEF1DP6"	0	0	0	16	10
"LINC01777"	0	0	0	0	1
"LINC01646"	3	0	0	0	0
"AJAP1"	0	0	0	31	0
"MIR4689"	0	132	0	0	0
"NPHP4"	18	25	14	20	21
"KCNAB2"	299	303	138	41	60
"CHD5"	1	1	1	1	1
"RPL22"	1628	1368	357	460	287
"RNF207"	0	1	3	0	3
"ICMT"	200	78	73	261	243
"HES3"	0	0	5	0	0
"GPR153"	3	46	8	13	35
"ACOT7"	10	10	3	3	18
"HES2"	2	0	1	0	1
"ESPN"	1	4	0	0	1
"MIR4252"	0	0	0	0	0
"TNFRSF25"	9	165	489	166	147
"PLEKHG5"	1	8	6	0	3
"NOL9"	299	563	237	226	279
"RNU6-731P"	0	0	0	0	0
"TAS1R1"	0	0	0	0	0
"ZBTB48"	421	371	460	363	419
"KLHL21"	431	737	144	62	152
"PHF13"	233	432	133	158	204
"THAP3"	215	211	166	165	266
"DNAJC11"	79	48	67	54	76
"LINC01672"	0	0	0	0	3
"CAMTA1-DT"	285	96	167	142	55
"CAMTA1"	4	9	3	1	2
"RNU1-8P"	0	0	46	0	23
"CAMTA1-IT1"	0	6	0	0	0
"VAMP3"	949	1339	358	563	390
"PER3"	4	6	3	2	1
"UTS2"	6	4	1	0	4
"TNFRSF9"	6	11	3	1	2
"PARK7"	412	215	83	155	122
"ERRFI1"	11	20	7	2	2
"LINC01714"	0	0	0	0	0
"RNU1-7P"	0	0	0	0	23
"RNU6-991P"	0	0	0	0	0
"SLC45A1"	0	0	0	0	0
"RERE"	33	71	58	22	55
"RERE-AS1"	4	9	5	6	9
"RPL7P11"	0	0	23	0	17
"RPL7P7"	217	156	485	149	525
"RPL23AP19"	0	0	20	0	10
"ENO1"	6964	2865	1392	3099	2354
"MIR6728"	0	521	0	0	43
"ENO1-AS1"	32	69	28	52	17
"RNU6-304P"	0	0	0	0	0
"HMGN2P17"	22	12	10	8	20
"CA6"	1	0	1	5	0
"RN7SL451P"	0	0	0	0	12
"SLC2A7"	0	1	12	10	0
"SLC2A5"	191	497	634	137	8
"GPR157"	5	6	12	7	11
"MIR34AHG"	5	11	3	2	3
"MIR34A"	0	0	0	0	0
"LNCTAM34A"	4	3	0	3	2
"H6PD"	128	91	199	120	223
"SPSB1"	1	131	13	2	29
"LINC02606"	3	5	6	0	2
"RNA5SP40"	0	0	0	0	0
"SLC25A33"	101	143	67	68	71
"TMEM201"	91	171	103	95	210
"PIK3CD"	455	607	648	259	649
"PIK3CD-AS1"	137	9	115	21	117
"PIK3CD-AS2"	7	3	0	1	1
"CLSTN1"	129	165	222	238	155
"MZT1P1"	0	0	0	0	0
"CTNNBIP1"	37	47	28	59	33
"LZIC"	346	135	205	253	185
"NMNAT1"	14	4	17	19	11
"RN7SKP269"	53	144	95	38	47
"TMEM274P"	0	0	0	0	0
"MIR5697"	0	0	0	160	98
"RBP7"	0	0	1	0	1
"UBE4B"	69	79	80	52	63
"PGAM1P11"	34	112	116	107	101
"RNU6-828P"	319	173	285	174	35
"KIF1B"	12	91	62	12	39
"RNU6-37P"	319	1125	571	0	251
"RN7SL731P"	0	0	0	0	0
"PGD"	404	478	197	248	345
"CENPS-CORT"	0	0	0	0	0
"CENPS"	0	2	0	4	1
"CORT"	25	18	11	15	36
"DFFA"	535	381	286	364	378
"PEX14"	8	15	8	7	11
"RN7SL614P"	0	32	190	66	122
"CASZ1"	7	134	56	20	82
"HSPE1P24"	0	0	31	0	16
"C1orf127"	0	1	0	12	0
"CFL1P6"	0	11	27	7	9
"TARDBP"	854	946	704	1010	651
"MASP2"	1	2	2	1	4
"SRM"	791	391	190	230	370
"EXOSC10"	524	894	427	328	424
"EXOSC10-AS1"	19	13	5	6	2
"MTOR"	133	189	120	109	135
"MTOR-AS1"	0	0	0	0	0
"RNU6-537P"	0	0	0	0	0
"ANGPTL7"	0	0	0	0	2
"RNU6-291P"	0	0	0	0	0
"RPL39P6"	0	61	0	82	51
"UBIAD1"	73	89	110	97	82
"UBE2V2P3"	0	0	0	0	5
"MTCYBP45"	0	32	0	0	13
"DISP3"	0	1	2	1	0
"LINC01647"	0	2	1	0	0
"FBXO2"	0	4	4	0	11
"FBXO44"	170	216	309	82	190
"MAD2L2"	98	234	70	88	274
"FBXO6"	26	22	69	21	181
"DRAXIN"	0	3	3	1	216
"AGTRAP"	57	24	51	44	96
"C1orf167"	0	0	0	0	5
"MTHFR"	429	586	411	351	398
"CLCN6"	83	336	143	106	134
"NPPA"	6	6	0	4	5
"NPPB"	0	0	0	0	7
"RNU5E-1"	0	0	0	0	0
"RNU5E-4P"	20937	33073	38451	26040	35754
"KIAA2013"	413	359	322	554	652
"PLOD1"	58	19	21	18	77
"MFN2"	285	1080	250	271	245
"MIIP"	276	420	233	271	294
"MIR6729"	0	0	0	0	0
"RN7SL649P"	0	0	0	0	0
"TNFRSF8"	0	0	2	0	0
"RNU6-777P"	0	0	0	0	73
"RPL23AP89"	0	36	0	0	0
"MIR7846"	0	0	0	0	0
"TNFRSF1B"	118	185	97	99	24
"MIR4632"	0	152	0	0	0
"RPL10P17"	0	0	0	0	0
"VPS13D"	90	177	158	96	81
"SNORA59A"	561	425	250	531	151
"DHRS3"	365	818	30	68	11
"RNU6ATAC18P"	2881	2752	303	432	38
"MIR6730"	1797	4448	0	0	115
"AADACL4"	0	0	0	0	0
"AADACL3"	1	0	1	0	0
"PRAMEF12"	0	0	3	0	0
"PRAMEF1"	0	0	1	0	2
"LINC01784"	0	0	0	0	16
"PRAMEF11"	0	0	0	0	0
"PRAMEF30P"	0	0	0	0	2
"HNRNPCL1"	0	0	5	0	8
"PRAMEF2"	0	0	0	0	0
"PRAMEF4"	0	0	1	0	0
"PRAMEF10"	0	0	0	0	1
"PRAMEF7"	0	0	0	0	0
"RNU6-1072P"	0	0	0	0	0
"PRAMEF29P"	0	0	0	0	0
"PRAMEF6"	0	0	0	0	0
"PRAMEF28P"	0	0	0	0	1
"PRAMEF27"	0	0	0	0	2
"HNRNPCL3"	0	0	0	0	0
"PRAMEF25"	0	0	0	0	0
"PRAMEF34P"	0	0	0	0	0
"PRAMEF35P"	0	0	11	0	0
"HNRNPCL2"	24	6	5	0	0
"PRAMEF36P"	0	0	0	0	0
"PRAMEF26"	0	0	0	0	0
"HNRNPCL4"	0	16	8	3	2
"PRAMEF9"	0	0	0	0	0
"PRAMEF13"	0	0	0	0	0
"PRAMEF18"	0	0	0	0	2
"PRAMEF31P"	0	0	0	0	4
"PRAMEF5"	0	0	0	0	0
"PRAMEF32P"	0	0	0	0	0
"RNU6-771P"	0	0	0	0	0
"PRAMEF8"	0	0	0	0	0
"PRAMEF33"	3	0	0	0	0
"PRAMEF15"	0	0	0	0	1
"PRAMEF14"	0	0	1	1	0
"PRAMEF19"	0	0	2	0	0
"PRAMEF17"	5	9	0	0	0
"PRAMEF20"	0	0	0	0	0
"LRRC38"	0	0	0	0	40
"BRWD1P1"	0	13	43	0	5
"PDPN"	0	0	0	0	0
"RNA5SP41"	338	458	151	0	38
"PRDM2"	199	1121	1236	430	454
"KAZN"	0	0	0	0	2
"RNU6-1265P"	0	0	0	0	0
"KAZN-AS1"	0	0	0	0	0
"TBCAP2"	0	0	2097	12	0
"TMEM51-AS1"	0	0	0	0	0
"TMEM51"	0	0	0	0	0
"FHAD1"	0	0	2	0	0
"EFHD2"	666	1345	523	465	657
"CTRC"	1	129	37	10	31
"CELA2A"	1	1	1	0	0
"CELA2B"	0	1	0	0	0
"CASP9"	38	50	53	37	39
"DNAJC16"	29	20	57	53	42
"SCARNA21B"	0	132	163	44	27
"AGMAT"	16	3	9	5	8
"CHCHD2P6"	38	41	67	83	34
"RNU7-179P"	0	0	0	0	0
"CD24P1"	0	0	0	0	0
"DDI2"	237	366	232	169	102
"RSC1A1"	0	0	0	0	0
"PLEKHM2"	337	1355	508	281	416
"SLC25A34"	82	805	289	104	146
"SLC25A34-AS1"	0	0	0	0	0
"TMEM82"	0	10	9	0	2
"FBLIM1"	0	1	1	0	0
"RPL12P14"	138	131	15	88	46
"UQCRHL"	342	568	100	164	232
"SPEN"	206	708	345	164	240
"ZBTB17"	324	669	478	210	481
"TBC1D3P6"	0	1	3	0	3
"SRARP"	0	0	3	0	5
"HSPB7"	6	0	5	1	12
"CLCNKA"	1	3	1	0	5
"CLCNKB"	0	0	0	0	0
"FAM131C"	0	0	0	0	2
"EPHA2"	1	0	0	4	1
"ARHGEF19-AS1"	0	0	0	0	0
"ARHGEF19"	48	30	34	72	66
"ANO7L1"	5	76	18	12	30
"CPLANE2"	74	121	68	86	85
"MT1XP1"	274	1388	409	867	472
"FBXO42"	39	91	69	65	60
"SZRD1"	567	604	443	305	382
"RPL22P3"	44	0	0	0	10
"SPATA21"	0	0	1	0	1
"NECAP2"	433	357	223	339	196
"LINC01772"	103	165	79	62	64
"RNU1-1"	6030	8217	9388	12800	8957
"LINC01783"	19	1051	85	402	60
"RNU1-6P"	0	0	0	0	0
"NBPF1"	17	22	74	85	39
"MST1P2"	43	27	29	17	18
"RNU1-3"	14141	6416	1115	2802	2892
"EIF1AXP1"	117	84	104	85	78
"ESPNP"	0	0	0	0	0
"CROCC"	27	20	47	6	44
"RNU1-4"	519	3883	1673	3749	1562
"CROCCP4"	0	0	0	0	5
"MST1L"	32	5	1	0	4
"MIR3675"	0	0	105	0	105
"RNU1-5P"	0	0	0	0	0
"RNU1-2"	5095	10975	13153	17496	10240
"MFAP2"	8	444	11	3	14
"ATP13A2"	558	2537	593	82	435
"SDHB"	278	205	100	94	99
"PADI2"	98	15	28	7	4
"PADI1"	0	0	1	0	0
"PADI3"	0	0	0	0	0
"MIR3972"	0	0	0	0	0
"PADI4"	26	3	15	11	19
"PADI6"	0	0	0	0	0
"RCC2-AS1"	54	14	0	9	0
"RCC2"	1232	2162	697	812	1183
"ARHGEF10L"	1	0	0	0	0
"ACTL8"	0	0	0	0	0
"LINC01654"	0	0	1	0	0
"IGSF21"	0	0	0	0	0
"IGSF21-AS1"	0	0	0	0	0
"KLHDC7A"	0	3	12	1	11
"DYNLL1P3"	0	0	0	0	14
"PAX7"	0	0	0	0	0
"TAS1R2"	0	3	2	0	1
"ALDH4A1"	54	103	32	23	62
"MIR4695"	0	0	0	0	0
"MIR1290"	660	357	196	0	246
"IFFO2"	362	176	90	14	77
"UBR4"	413	1268	702	359	475
"EMC1-AS1"	9	18	13	11	15
"EMC1"	148	139	128	141	127
"MRTO4"	509	266	174	232	349
"AKR7L"	6	69	54	14	37
"AKR7A3"	10	44	75	13	46
"AKR7A2"	323	245	248	262	301
"RNU6-1099P"	0	173	786	116	466
"CAPZB"	110	93	83	85	62
"RN7SL277P"	0	0	52	43	52
"MICOS10"	7	3	6	3	6
"RNU4-28P"	0	0	0	0	0
"NBL1"	0	4	1	3	4
"MICOS10-NBL1"	0	0	0	0	0
"HTR6"	0	0	0	0	0
"TMCO4"	21	21	57	30	40
"RNF186"	0	0	0	9	0
"OTUD3"	170	401	188	232	158
"PLA2G2E"	0	0	0	0	0
"RN7SL304P"	0	0	0	20	0
"PLA2G2A"	0	0	1	0	0
"PLA2G5"	0	0	0	0	0
"PLA2G2D"	0	6	5	2	0
"PLA2G2F"	1	8	2	2	0
"PLA2G2C"	2	3	1	0	0
"UBXN10"	105	70	146	27	11
"LINC01757"	0	0	0	0	0
"VWA5B1"	0	0	0	0	0
"LINC01141"	0	0	0	0	0
"CAMK2N1"	4	14	0	0	0
"MUL1"	340	742	203	191	297
"RPS4XP4"	0	0	0	0	0
"FAM43B"	0	0	0	0	0
"CDA"	9	1	4	5	2
"PINK1"	107	125	88	112	55
"MIR6084"	0	0	0	0	0
"PINK1-AS"	298	414	192	146	234
"DDOST"	2225	1680	749	1008	837
"KIF17"	19	0	3	1	1
"SH2D5"	10	51	18	8	7
"HP1BP3"	768	688	448	739	677
"EIF4G3"	104	60	54	49	43
"RNU7-200P"	0	0	0	0	0
"MIR1256"	143	855	321	418	483
"RPS15AP6"	220	668	157	225	277
"HSPE1P27"	0	0	0	0	0
"ECE1"	2	18	41	8	31
"PPP1R11P1"	0	0	0	0	0
"NBPF2P"	0	8	9	16	9
"HS6ST1P1"	0	37	0	0	12
"CROCCP5"	0	0	4	1	3
"NBPF3"	20	23	15	97	12
"PFN1P10"	0	0	0	0	0
"ALPL"	3	1	24	1	2
"LINC02596"	7	0	12	1	2
"RAP1GAP"	11	24	2	8	7
"USP48"	146	146	144	136	119
"LDLRAD2"	240	79	1	50	1
"HSPG2"	39	109	62	43	9
"CELA3B"	0	0	0	0	0
"RN7SL386P"	0	0	0	0	0
"RNU6-1022P"	0	0	0	0	0
"CELA3A"	0	0	0	0	0
"RN7SL186P"	0	0	0	0	0
"RNU6-776P"	0	0	0	0	0
"LINC01635"	32	35	128	92	66
"LINC00339"	129	71	146	188	155
"CDC42"	3096	2919	2846	1670	983
"CDC42-IT1"	220	357	893	318	399
"WNT4"	1	0	0	6	1
"MIR4418"	0	0	0	0	0
"PPIAP34"	0	0	0	0	0
"ZBTB40"	126	79	171	147	132
"ZBTB40-IT1"	37	78	111	55	61
"EPHA8"	0	0	1	0	2
"MIR6127"	0	0	0	0	0
"C1QA"	3	65	9	4	7
"C1QC"	9	66	5	4	8
"C1QB"	1	36	14	0	7
"EPHB2"	0	0	0	0	0
"MIR4684"	0	226	0	0	0
"MIR4253"	0	0	0	0	113
"LACTBL1"	0	0	0	0	0
"TEX46"	2	0	2	0	1
"KDM1A"	433	608	301	371	255
"MIR3115"	252	273	339	276	227
"LUZP1"	694	1379	197	91	103
"RNU6-514P"	0	86	0	0	0
"RNU6-135P"	0	0	0	0	76
"HTR1D"	0	0	0	0	0
"LINC01355"	27	160	30	13	17
"HNRNPR"	953	969	524	692	620
"ZNF436"	110	226	148	231	144
"ZNF436-AS1"	70	98	135	121	51
"TCEA3"	0	1	5	2	22
"ASAP3"	1	10	22	3	25
"E2F2"	645	621	744	204	1660
"ID3"	2206	18243	3636	3625	1619
"MDS2"	1	1	2	0	0
"RPL11"	44201	46284	10888	20674	10445
"ELOA-AS1"	2	2	3	2	3
"ELOA"	613	1247	550	826	866
"PITHD1"	956	1251	559	635	430
"LYPLA2"	729	1317	701	861	779
"GALE"	160	84	130	133	99
"HMGCL"	35	9	28	31	22
"FUCA1"	146	94	60	232	38
"CNR2"	49	14	106	192	21
"BTBD6P1"	120	79	628	1028	222
"MIR378F"	0	0	98	0	0
"PNRC2"	4816	4301	3119	3253	2549
"SRSF10"	7137	8083	4205	5101	3989
"MYOM3"	0	0	0	0	0
"IL22RA1"	2	0	0	0	2
"IFNLR1"	282	79	14	6	131
"GRHL3"	0	0	0	0	0
"STPG1"	2	1	2	3	5
"NIPAL3"	21	19	23	34	56
"RCAN3AS"	0	0	1	0	1
"RCAN3"	50	77	70	103	85
"NCMAP"	0	0	0	0	1
"SRRM1"	540	989	636	508	719
"CLIC4"	139	300	79	119	101
"RNU6-1208P"	0	0	0	0	0
"RUNX3"	6	55	52	20	50
"MIR6731"	0	258	0	86	160
"MIR4425"	408	331	273	0	45
"SYF2"	2317	2304	1555	1542	1429
"RSRP1"	453	702	544	336	215
"RHD"	13	12	0	1	2
"SDHDP6"	0	38	63	64	39
"TMEM50A"	417	527	249	242	286
"RHCE"	9	7	1	2	3
"MACO1"	115	469	200	107	140
"LDLRAP1"	61	39	176	28	138
"MAN1C1"	0	2	6	1	8
"SELENON"	193	152	190	104	214
"MTFR1L"	254	69	134	176	103
"AUNIP"	47	23	4	6	14
"PAQR7"	152	79	47	69	15
"STMN1"	1511	777	502	1324	1232
"SNRPFP2"	0	0	0	0	15
"MIR3917"	0	0	0	0	0
"PAFAH2"	57	25	38	82	19
"RNU6-110P"	0	0	0	0	36
"EXTL1"	0	0	0	0	0
"SLC30A2"	0	0	0	0	0
"TRIM63"	0	0	1	0	0
"PDIK1L"	248	230	170	236	175
"FAM110D"	10	3	0	0	2
"C1orf232"	0	1	4	0	0
"ZNF593"	1563	1340	981	505	1548
"CNKSR1"	1	31	33	8	45
"CATSPER4"	0	0	0	0	1
"CEP85"	119	100	60	74	129
"SH3BGRL3"	14753	10873	6789	7561	4980
"UBXN11"	73	106	102	82	103
"CD52"	1704	1541	9495	13777	2767
"CRYBG2"	0	1	1	0	0
"ZNF683"	1	2	8	12	5
"LIN28A"	0	0	0	0	1
"DHDDS"	52	99	65	55	54
"HMGN2"	8599	8060	2661	7021	5996
"DPPA2P2"	0	0	0	0	0
"RPS6KA1"	614	260	337	237	478
"MIR1976"	0	0	0	0	0
"RN7SL679P"	0	0	0	0	50
"RNU7-29P"	0	0	0	0	0
"ARID1A"	247	603	550	324	517
"PIGV"	89	180	131	215	64
"RN7SL165P"	0	94	52	85	52
"ZDHHC18"	179	263	181	157	99
"SFN"	25	365	173	42	40
"GPN2"	438	764	520	448	414
"GPATCH3"	343	804	579	488	678
"NUDC"	182	155	93	95	141
"NR0B2"	0	0	0	0	0
"KDF1"	0	0	1	11	1
"RPL12P13"	0	0	9	15	4
"OSTCP2"	0	41	0	0	0
"TRNP1"	2	8	11	87	3
"TENT5B"	0	38	14	1	1
"SLC9A1"	19	124	54	12	33
"CHCHD3P3"	53	14	23	9	5
"NPM1P39"	117	116	43	85	65
"SNRPEP7"	0	0	34	0	0
"WDTC1"	60	45	106	99	110
"TMEM222"	217	208	233	177	207
"RNU6-48P"	0	259	714	465	717
"ACTG1P20"	653	667	1427	1136	1815
"SYTL1"	103	472	1412	380	373
"MAP3K6"	24	27	106	58	43
"FCN3"	0	3	33	5	1
"CD164L2"	4	8	49	29	11
"GPR3"	15	135	52	9	28
"WASF2"	264	349	513	852	225
"AHDC1"	71	386	350	172	177
"FGR"	59	27	236	34	55
"LINC02574"	0	3	1	1	3
"IFI6"	140	393	195	147	4042
"RNU6-949P"	0	0	0	0	0
"CHMP1AP1"	0	0	0	0	11
"RNU6-424P"	0	0	0	0	0
"FAM76A"	76	121	72	69	55
"RPEP3"	200	135	168	73	95
"STX12"	95	167	111	80	52
"RNU6-1245P"	0	698	144	0	0
"PPP1R8"	229	321	124	161	158
"SCARNA1"	14894	8507	6473	7594	3802
"THEMIS2"	600	2437	610	1774	303
"RPA2"	291	61	56	117	62
"SMPDL3B"	0	2	1	2	1
"XKR8"	109	185	76	144	72
"EYA3"	16	10	22	28	20
"RN7SL559P"	0	154	281	145	115
"SPCS2P4"	24	0	11	45	95
"RNU6-176P"	0	88	0	0	0
"PTAFR"	5	6	18	4	5
"DNAJC8"	417	366	192	269	228
"ATP5IF1"	588	254	184	333	223
"SESN2"	65	371	66	178	25
"MED18"	155	68	105	147	76
"PHACTR4"	39	100	67	51	58
"RNU6ATAC27P"	0	155	449	209	193
"RCC1"	470	391	152	146	196
"SNHG3"	5648	8636	3829	2481	1080
"SNORA73A"	0	0	0	0	0
"SNORA73B"	2429489	1829077	1758210	1607979	1545786
"PRDX3P2"	0	0	0	0	0
"TRNAU1AP"	111	85	63	82	61
"SNHG12"	2416	6987	2138	839	362
"SNORD99"	9519	21113	7887	1944	677
"SNORA61"	0	0	0	0	0
"SNORA44"	0	0	0	0	0
"TAF12"	46	22	17	18	16
"RAB42"	0	2	4	11	10
"RNU11"	1656	2000	1879	2134	2058
"GMEB1"	128	241	117	93	94
"YTHDF2"	912	908	542	676	546
"OPRD1"	0	0	0	0	0
"EPB41"	131	164	170	131	135
"TMEM200B"	11	0	8	6	2
"SRSF4"	751	2095	1302	877	1007
"MECR"	38	10	19	26	23
"PTPRU"	0	2	0	0	0
"LINC01756"	0	0	0	0	0
"LINC01648"	0	0	0	0	0
"MATN1"	26	906	171	25	33
"MATN1-AS1"	34	40	231	111	108
"LAPTM5"	9797	18264	6742	6912	6562
"MIR4420"	7582	14244	12659	7228	4252
"LINC01778"	0	0	0	0	0
"RN7SKP91"	0	0	0	0	0
"SDC3"	0	6	3	2	4
"RN7SL371P"	0	275	28	69	0
"PUM1"	327	667	418	284	332
"SELENOWP1"	0	0	0	0	0
"NKAIN1"	0	0	0	2	0
"SNRNP40"	223	254	101	137	132
"ZCCHC17"	19	16	22	21	17
"FABP3"	0	1	1	0	0
"SERINC2"	1	17	8	3	243
"RNU6-40P"	0	0	0	0	35
"LINC01226"	3	3	24	1	192
"TINAGL1"	16	11	143	12	77
"HCRTR1"	1	0	14	9	11
"PEF1"	244	303	258	239	280
"COL16A1"	0	0	0	0	2
"ADGRB2"	1	1	1	0	41
"MIR4254"	0	0	0	0	253
"SPOCD1"	1	0	0	0	0
"PTP4A2"	1640	1575	835	1407	881
"KHDRBS1"	681	812	398	436	422
"TMEM39B"	80	117	57	73	53
"MIR5585"	292	790	914	319	327
"KPNA6"	235	462	259	196	178
"TXLNA"	377	595	321	503	487
"CCDC28B"	139	222	101	204	126
"IQCC"	118	198	223	133	415
"DCDC2B"	11	5	8	2	2
"TMEM234"	75	69	282	141	141
"EIF3I"	1070	785	357	457	341
"MTMR9LP"	0	16	19	45	37
"FAM167B"	31	78	46	60	44
"LCK"	16	37	89	62	109
"HDAC1"	360	234	239	232	242
"MARCKSL1"	3023	7173	3408	5254	4512
"TSSK3"	1	0	4	4	5
"FAM229A"	856	2372	1553	578	1059
"BSDC1"	504	894	902	400	736
"GAPDHP20"	16	0	0	0	0
"LRRC37A12P"	0	0	0	0	0
"RN7SL122P"	0	0	0	0	0
"ZBTB8B"	1	0	0	0	1
"ZBTB8A"	0	16	6	12	1
"ZBTB8OS"	35	29	33	30	23
"RBBP4"	858	767	505	934	560
"SYNC"	0	1	0	0	0
"KIAA1522"	0	4	1	4	8
"S100PBP"	138	69	158	181	158
"FNDC5"	3	15	48	10	10
"HPCA"	0	0	2	0	0
"TMEM54"	0	1	2	0	13
"RNF19B"	427	497	193	126	140
"AK2"	227	45	77	149	117
"AZIN2"	1	14	5	1	3
"TRIM62"	26	122	102	47	122
"ZNF362"	73	72	69	84	78
"A3GALT2"	4	34	3	8	12
"PHC2"	66	217	57	85	82
"MIR3605"	0	1390	76	124	422
"RN7SKP16"	284	1631	635	621	637
"TLR12P"	0	13	0	0	0
"ZSCAN20"	14	4	10	14	7
"CSMD2"	0	0	0	2	0
"HSPD1P14"	0	0	0	3	0
"HMGB4"	0	0	1	0	1
"CSMD2-AS1"	0	0	0	0	0
"RNA5SP42"	0	0	0	0	66
"C1orf94"	0	0	0	0	0
"MIR552"	0	0	0	0	0
"SMIM12"	18	20	16	19	10
"GJB5"	0	0	8	0	0
"GJB4"	0	0	0	0	0
"GJB3"	0	0	0	0	0
"GJA4"	0	30	0	4	8
"DLGAP3"	0	0	0	3	3
